filename,dominant_color_rgb,description
00000_00.jpg,"(181, 50, 70)",levi logo t - shirt
00001_00.jpg,"(33, 34, 38)",a black t - shirt with a red logo on the chest
00002_00.jpg,"(15, 15, 17)",long sleeve - long sleeved top - black
00003_00.jpg,"(26, 28, 44)",a woman wearing a navy t - shirt with a pocket
00005_00.jpg,"(240, 206, 208)",levis - t - shirt - white
00007_00.jpg,"(209, 191, 203)",adidas 3 stripes tee - t - shirt - lila
00009_00.jpg,"(21, 23, 22)",pu tee - t - shirt - black
00010_00.jpg,"(18, 21, 22)",calvin jeans - t - shirt - black
00011_00.jpg,"(20, 19, 20)",adidas - body - black / white
00012_00.jpg,"(21, 22, 24)",a black sweatshirt with the word obey on it
00014_00.jpg,"(31, 32, 34)",a black blouse with plea detailing and a pleaed neckline
00015_00.jpg,"(245, 245, 245)",adidas 3 stripes tee - t - shirt - grey heather / white
00016_00.jpg,"(164, 162, 147)",a white blouse with black and white stripes
00018_00.jpg,"(31, 32, 34)",a black blouse with a gathered neckline
00019_00.jpg,"(23, 25, 27)",calvins - t - shirt - black
00022_00.jpg,"(199, 195, 181)",a leopard print top with long sleeves and a round neck
00023_00.jpg,"(246, 246, 246)",a black sweater with a high neck and long sleeves
00024_00.jpg,"(81, 27, 32)",a woman wearing a striped top
00025_00.jpg,"(82, 88, 92)",a silver bodysuit with long sleeves and a high neck
00026_00.jpg,"(39, 46, 81)",adidas - body - dark blue / blue
00028_00.jpg,"(229, 153, 161)",guess - long sleeved top - lang lang - white
00029_00.jpg,"(33, 34, 36)",a black t - shirt with a floral print
00030_00.jpg,"(12, 75, 136)",adidas - t - shirt - blue
00031_00.jpg,"(210, 13, 33)",adidas 3 stripes - sweatshirt - red
00032_00.jpg,"(148, 98, 21)",a camel print shirt with a long sleeves and a collar
00033_00.jpg,"(77, 83, 106)",a blue blouse with a tie neck and a floral print
00036_00.jpg,"(21, 22, 20)",a black shirt with a button on the front
00038_00.jpg,"(34, 31, 39)",a black t - shirt with a pink logo on the front
00040_00.jpg,"(91, 91, 83)",calvin crew neck - t - shirt - light grey
00041_00.jpg,"(245, 245, 245)",t - shirt with logo print
00042_00.jpg,"(196, 173, 156)",a cropped top with a floral print
00043_00.jpg,"(252, 235, 227)",a pink t - shirt with the slogan ' i am mee '
00044_00.jpg,"(55, 32, 92)",adidas t - shirt - purple
00045_00.jpg,"(178, 197, 215)",a white t - shirt with a red and blue pepsi logo
00046_00.jpg,"(10, 11, 14)",tommy - t - shirt - black
00047_00.jpg,"(24, 25, 27)","the black top is a simple, yety, yet"
00048_00.jpg,"(245, 245, 245)",long sleeve - long sleeved top - white
00049_00.jpg,"(30, 31, 33)",champion - t - shirt - black
00050_00.jpg,"(22, 25, 38)",a navy sweater with a round neck and long sleeves
00051_00.jpg,"(222, 219, 204)",the white blouse is a lightweight cotton shirt with a long sleeve and a tie around the neck
00052_00.jpg,"(246, 246, 246)",calvins - t - shirt - white
00053_00.jpg,"(31, 37, 49)",tommy tee - t - shirt - navy
00054_00.jpg,"(117, 110, 94)",a women ' s t - shirt with a leopard print
